INSTNM,CITY,STATE,ZIP,ACCREDAGENCY,Modified_PEP_ROI,Original_PEP_ROI,PCTPELL,MSI_TYPE
Bard College,Annandale-On-Hudson,NY,12504-5000,Middle States Commission on Higher Education,0.07942054305889204,12.591200733272228,0.2368,Non-MSI
Barnard College,New York,NY,10027-6598,Middle States Commission on Higher Education,0.3100825029465338,3.224948168624741,0.1604,Non-MSI
Berk Trade and Business School,Long Island City,NY,11101-8120,Accrediting Commission of Career Schools and Colleges,0.18110800078119915,5.5215672178289,0.3792,Non-MSI
Berkeley College-New York,New York,NY,10017,Middle States Commission on Higher Education,0.10701582784990218,9.344412131283756,0.5613,Non-MSI
Berkowits School of Electrolysis,Forest Hills,NY,11375-6820,National Accrediting Commission of Career Arts and Sciences,,,0.1164,Non-MSI
Beth Hamedrash Shaarei Yosher Institute,Brooklyn,NY,11204,Association of Advanced Rabbinical and Talmudic Schools,-1.9947524526579967,-0.5013153379846734,0.7467,Non-MSI
Mount Sinai Phillips School of Nursing,New York,NY,10035-6354,Middle States Commission on Higher Education,,,0.0,Non-MSI
Brittany Beauty Academy,Brooklyn,NY,11209,National Accrediting Commission of Career Arts and Sciences,-0.12646911099949773,-7.907069102462272,0.5596,Non-MSI
Boricua College,New York,NY,10032-1560,Middle States Commission on Higher Education,0.0004955050612302683,2018.142857142857,0.809,HSI
Brittany Beauty Academy,Levittown,NY,11756-1345,National Accrediting Commission of Career Arts and Sciences,-0.09486304366850441,-10.541512915129152,0.5179,Non-MSI
American Beauty School,Bronx,NY,10462,National Accrediting Commission of Career Arts and Sciences,-1.6107221812822403,-0.6208395287658698,0.4545,Non-MSI
Brooklyn Law School,Brooklyn,NY,11201,American Bar Association,,,,Non-MSI
SUNY Broome Community College,Binghamton,NY,13901-1001,Middle States Commission on Higher Education,0.003986545409243802,250.84375,0.3762,Non-MSI
Bryant & Stratton College-Syracuse North,Liverpool,NY,13090,Middle States Commission on Higher Education,-0.18624310375511657,-5.369326325848065,0.6806,Non-MSI
Bryant & Stratton College-Buffalo,Buffalo,NY,14203,Middle States Commission on Higher Education,-0.16369466604098232,-6.108934543717153,0.677,Non-MSI
Bryant & Stratton College-Greece,Rochester,NY,14612,Middle States Commission on Higher Education,-0.17375062261331561,-5.755375059722886,0.7191,Non-MSI
Canisius University,Buffalo,NY,14208-1098,Middle States Commission on Higher Education,0.2099125364431487,4.763888888888888,0.2872,Non-MSI
Capri Cosmetology Learning Centers,Nanuet,NY,10954,National Accrediting Commission of Career Arts and Sciences,-0.08295616960457361,-12.054558506819813,0.5275,Non-MSI
St Paul's School of Nursing-Queens,Rego Park,NY,11374,Accrediting Bureau of Health Education Schools,0.3802153846153846,2.630088209112244,0.4853,Non-MSI
Cayuga County Community College,Auburn,NY,13021-3099,Middle States Commission on Higher Education,-0.01270665391446919,-78.6989247311828,0.4182,Non-MSI
Cazenovia College,Cazenovia,NY,13035,,0.05323765020026702,18.78369905956113,0.4575,Non-MSI
Central Yeshiva Tomchei Tmimim Lubavitz,Brooklyn,NY,11213-2798,Association of Institutions of Jewish Studies,0.031118390266729058,32.13533834586466,0.6464,Non-MSI
Christine Valmy International School for Esthetics Skin Care & Makeup,New York,NY,10036,Council on Occupational Education,-0.7315705798677935,-1.366922109115864,0.3679,Non-MSI
Circle in the Square Theatre School,New York,NY,10019-6795,National Association of Schools of Theatre,-0.28071020355743914,-3.5623927713599453,0.3429,Non-MSI
Clarkson University,Potsdam,NY,13699,Middle States Commission on Higher Education,0.31519573182490196,3.1726317936168043,0.209,Non-MSI
Clinton Community College,Plattsburgh,NY,12901,Middle States Commission on Higher Education,0.01545124663467166,64.71969696969697,0.272,Non-MSI
Cochran School of Nursing,Yonkers,NY,10701,Accreditation Commission for Education in Nursing,,,0.46,Non-MSI
Colgate Rochester Crozer Divinity School,Rochester,NY,14607,Commission on Accrediting of the Association of Theological Schools,,,,Non-MSI
Colgate University,Hamilton,NY,13346-1398,Middle States Commission on Higher Education,0.4794611674704806,2.0856746444675687,0.128,Non-MSI
Metropolitan College of New York,New York,NY,10006-1742,Middle States Commission on Higher Education,0.056024122711182976,17.849453978159126,0.6493,PBI
Columbia University in the City of New York,New York,NY,10027,Middle States Commission on Higher Education,0.857854194152445,1.1656992608026988,0.2216,Non-MSI
Columbia-Greene Community College,Hudson,NY,12534,Middle States Commission on Higher Education,0.11071789686552073,9.031963470319635,0.276,Non-MSI
Empire Beauty School-Queens,Astoria,NY,11103,National Accrediting Commission of Career Arts and Sciences,-0.17134878525551522,-5.836049543676662,0.6571,Non-MSI
Continental School of Beauty Culture-Rochester,Rochester,NY,14623,National Accrediting Commission of Career Arts and Sciences,-0.17200313397753983,-5.8138475554205895,0.6142,Non-MSI
The Cooper Union for the Advancement of Science and Art,New York,NY,10003-7120,Middle States Commission on Higher Education,0.5766117969821674,1.734269061496372,0.2756,Non-MSI
Cornell University,Ithaca,NY,14853,Middle States Commission on Higher Education,0.5583960068800378,1.7908437518874192,0.1765,Non-MSI
Weill Medical College of Cornell University,New York,NY,10065,Middle States Commission on Higher Education,,,,Non-MSI
SUNY Corning Community College,Corning,NY,14830,Middle States Commission on Higher Education,0.02127659574468085,47.0,0.1834,Non-MSI
Pomeroy College of Nursing at Crouse Hospital,East Syracuse,NY,13057-1687,Accreditation Commission for Education in Nursing,0.1954334849939475,5.11683041435284,0.3532,Non-MSI
Culinary Institute of America,Hyde Park,NY,12538-1499,Middle States Commission on Higher Education,0.09399269830733488,10.639124293785311,0.3031,Non-MSI
CUNY Bernard M Baruch College,New York,NY,10010,Middle States Commission on Higher Education,1.9640504939626784,0.5091518792790275,0.523,AANAPII
CUNY Borough of Manhattan Community College,New York,NY,10007,Middle States Commission on Higher Education,0.21480406386066764,4.655405405405405,0.5721,AANAPII
CUNY Bronx Community College,Bronx,NY,10453,Middle States Commission on Higher Education,0.17912742648472035,5.582618025751073,0.5696,HSI
CUNY Brooklyn College,Brooklyn,NY,11210,Middle States Commission on Higher Education,0.9343243243243243,1.0702921608330922,0.545,AANAPII
College of Staten Island CUNY,Staten Island,NY,10314,Middle States Commission on Higher Education,0.5213917096720493,1.9179438058748404,0.4969,AANAPII
CUNY City College,New York,NY,10031,Middle States Commission on Higher Education,1.1595806639487478,0.8623807132094425,0.5827,AANAPII
CUNY Graduate School and University Center,New York,NY,10016,Middle States Commission on Higher Education,,,0.3475,Non-MSI
CUNY Hostos Community College,Bronx,NY,10451,Middle States Commission on Higher Education,0.0008326394671107411,1201.0,0.596,HSI
CUNY Hunter College,New York,NY,10065,Middle States Commission on Higher Education,1.2763956310679612,0.7834561445210364,0.5205,AANAPII
CUNY John Jay College of Criminal Justice,New York,NY,10019,Middle States Commission on Higher Education,0.9939153439153439,1.006121905775885,0.5752,AANAPII
CUNY Kingsborough Community College,Brooklyn,NY,11235,Middle States Commission on Higher Education,0.21028844875714475,4.755372945638433,0.311,AANAPII
CUNY LaGuardia Community College,Long Island City,NY,11101,Middle States Commission on Higher Education,0.13835078534031414,7.228003784295175,0.3912,AANAPII
CUNY Lehman College,Bronx,NY,10468,Middle States Commission on Higher Education,0.7764005949429846,1.2879948914431674,0.58,HSI
CUNY Medgar Evers College,Brooklyn,NY,11225,Middle States Commission on Higher Education,0.14103707478659702,7.0903342366757,0.5769,PBI
CUNY New York City College of Technology,Brooklyn,NY,11201,Middle States Commission on Higher Education,0.43420817711123016,2.3030427631578947,0.5322,AANAPII
CUNY Queens College,Queens,NY,11367,Middle States Commission on Higher Education,0.9107904897378581,1.0979473449352968,0.4573,AANAPII
CUNY Queensborough Community College,Bayside,NY,11364-1497,Middle States Commission on Higher Education,0.2705484960591925,3.6961950059453037,0.4383,AANAPII
CUNY School of Law,Long Island City,NY,11101,American Bar Association,,,,Non-MSI
CUNY York College,Jamaica,NY,11451,Middle States Commission on Higher Education,0.4637212643678161,2.1564678543764524,0.4713,AANAPII
CVPH Medical Center School of Radiologic Technology,Plattsburgh,NY,12901-1438,Joint Review Committee on Education in Radiologic Technology,-0.8362505978000957,-1.1958137938922566,0.3333,Non-MSI
D'Youville  University,Buffalo,NY,14201-1084,Middle States Commission on Higher Education,0.19729206963249515,5.068627450980393,0.3804,Non-MSI
Daemen University,Amherst,NY,14226-3592,Middle States Commission on Higher Education,0.16822667616237663,5.944360447535531,0.4136,Non-MSI
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,Far Rockaway,NY,11691-5219,Association of Advanced Rabbinical and Talmudic Schools,-1.3807643714466202,-0.7242365320828091,0.2,Non-MSI
Dominican University New York,Orangeburg,NY,10962-1210,Middle States Commission on Higher Education,0.19118673647469459,5.230488361478777,0.4394,HSI
Dutchess Community College,Poughkeepsie,NY,12601-1595,Middle States Commission on Higher Education,0.067482432759874,14.818671454219029,0.2005,HSI
Belanger School of Nursing,Schenectady,NY,12304,Accreditation Commission for Education in Nursing,0.1639444049913767,6.099628712871287,0.2411,Non-MSI
Elmira College,Elmira,NY,14901,Middle States Commission on Higher Education,0.14651475111553958,6.825251330573625,0.3328,Non-MSI
Erie Community College,Buffalo,NY,14203-2698,Middle States Commission on Higher Education,0.07600281491907107,13.157407407407408,0.3708,Non-MSI
Fashion Institute of Technology,New York,NY,10001-5992,Middle States Commission on Higher Education,0.21287507310270368,4.697590870667794,0.3177,Non-MSI
Finger Lakes Community College,Canandaigua,NY,14424-8395,Middle States Commission on Higher Education,-0.015181637448039038,-65.86904761904762,0.2841,Non-MSI
Five Towns College,Dix Hills,NY,11746-5871,Middle States Commission on Higher Education,0.07198203256597417,13.892355694227769,0.4599,Non-MSI
Fordham University,Bronx,NY,10458,Middle States Commission on Higher Education,0.19527363184079602,5.1210191082802545,0.205,Non-MSI
Fulton-Montgomery Community College,Johnstown,NY,12095-3790,Middle States Commission on Higher Education,0.014467279610600325,69.1214953271028,0.2687,Non-MSI
Gemological Institute of America-New York,New York,NY,10036,Accrediting Commission of Career Schools and Colleges,0.10277173913043479,9.73030142781597,0.0571,Non-MSI
Genesee Community College,Batavia,NY,14020-9704,Middle States Commission on Higher Education,-0.03727261162701946,-26.829351535836178,0.235,Non-MSI
Hamilton College,Clinton,NY,13323,Middle States Commission on Higher Education,0.39586101381004146,2.526139137510171,0.182,Non-MSI
Hartwick College,Oneonta,NY,13820-4020,,0.15501493811352968,6.450991189427312,0.35,Non-MSI
Helene Fuld College of Nursing,New York,NY,10035-2737,Middle States Commission on Higher Education,0.31566642756568636,3.1679010267631713,0.3583,Non-MSI
Herkimer County Community College,Herkimer,NY,13350-1598,Middle States Commission on Higher Education,-0.012894765599388045,-77.55084745762711,0.3691,Non-MSI
Hilbert College,Hamburg,NY,14075-1597,Middle States Commission on Higher Education,0.186005728649091,5.376178504085481,0.4622,Non-MSI
Hobart William Smith Colleges,Geneva,NY,14456,New England Commission on Higher Education,0.23694284933005197,4.220427005193306,0.2325,Non-MSI
Hofstra University,Hempstead,NY,11549,Middle States Commission on Higher Education,0.18247833216209886,5.4801026957638,0.2312,Non-MSI
Houghton University,Houghton,NY,14744,Middle States Commission on Higher Education,0.09364126872068983,10.679052234787292,0.3884,Non-MSI
Hudson Valley Community College,Troy,NY,12180,Middle States Commission on Higher Education,0.18372596804765773,5.442888725128961,0.2967,Non-MSI
Hunter Business School,Levittown,NY,11756-1375,Middle States Commission on Secondary Education,-0.050731876818833344,-19.711472602739725,0.6564,Non-MSI
Iona University,New Rochelle,NY,10801-1890,Middle States Commission on Higher Education,0.21997488716190994,4.545973464979944,0.2722,HSI
Isabella Graham Hart School of Practical Nursing,Rochester,NY,14622,Accreditation Commission for Education in Nursing,0.1431610772073232,6.985138834571764,0.5215,Non-MSI
Island Drafting and Technical Institute,Amityville,NY,11701-2704,Accrediting Commission of Career Schools and Colleges,0.1346749226006192,7.425287356321839,0.6538,Non-MSI
Ithaca College,Ithaca,NY,14850-7002,Middle States Commission on Higher Education,0.15911903690369036,6.284603146544105,0.1949,Non-MSI
Jamestown Community College,Jamestown,NY,14701,Middle States Commission on Higher Education,0.0065895953757225435,151.75438596491227,0.227,Non-MSI
Jamestown Business College,Jamestown,NY,14701-4756,Middle States Commission on Higher Education,-0.2410288980628771,-4.148880105401845,0.7944,Non-MSI
Jefferson Community College,Watertown,NY,13601-1897,Middle States Commission on Higher Education,0.019624429030620876,50.956896551724135,0.3637,Non-MSI
Jewish Theological Seminary of America,New York,NY,10027-4649,Middle States Commission on Higher Education,-0.18063303169290526,-5.536086011666476,0.0625,Non-MSI
The Juilliard School,New York,NY,10023-6588,Middle States Commission on Higher Education,0.0751267550702028,13.310837118754057,0.1495,Non-MSI
Kehilath Yakov Rabbinical Seminary,Ossining,NY,10562,Association of Advanced Rabbinical and Talmudic Schools,-4.201345506967804,-0.23801898661786575,0.858,Non-MSI
Keuka College,Keuka Park,NY,14478,Middle States Commission on Higher Education,0.10444943179794093,9.574010914051842,0.4254,Non-MSI
LIM College,New York,NY,10017-0000,Middle States Commission on Higher Education,0.09154725910345735,10.923319931074095,0.3681,Non-MSI
Le Moyne College,Syracuse,NY,13214-1301,Middle States Commission on Higher Education,0.22414917199113313,4.461314717859221,0.3056,Non-MSI
Long Island University,Brookville,NY,11548-1327,Middle States Commission on Higher Education,0.2272445099712889,4.4005463547891415,0.2022,AANAPII
Long Island Beauty School-Hempstead,Hempstead,NY,11550,National Accrediting Commission of Career Arts and Sciences,-0.11023870763954695,-9.071223905034794,0.4832,Non-MSI
Long Island Business Institute,Flushing,NY,11354-5577,,-0.21310295176385888,-4.6925675675675675,0.8827,Non-MSI
Machzikei Hadath Rabbinical College,Brooklyn,NY,11204-1805,Association of Advanced Rabbinical and Talmudic Schools,-0.9290192328126661,-1.0764039803271188,0.8837,Non-MSI
Mandl School-The College of Allied Health,New York,NY,10019-5516,Accrediting Bureau of Health Education Schools,-0.024841858321813078,-40.25463743676223,0.8643,Non-MSI
Manhattan College,Riverdale,NY,10471-4098,Middle States Commission on Higher Education,0.31329136061559987,3.1919169364742657,0.2831,HSI
Manhattan School of Music,New York,NY,10027,Middle States Commission on Higher Education,0.028041592417804063,35.66131284916201,0.148,Non-MSI
Manhattanville College,Purchase,NY,10577,Middle States Commission on Higher Education,0.18734514960930054,5.337741607324517,0.2697,HSI
Maria College of Albany,Albany,NY,12208,Middle States Commission on Higher Education,0.10157153875819513,9.8452776459421,0.4588,Non-MSI
Marion S Whelan School of Nursing of Geneva General Hospital,Geneva,NY,14456-1651,Accreditation Commission for Education in Nursing,-0.8070709867995939,-1.2390483815623927,0.6,Non-MSI
Marist College,Poughkeepsie,NY,12601,Middle States Commission on Higher Education,0.18080678516269208,5.530765889677139,0.1483,Non-MSI
Marymount Manhattan College,New York,NY,10021-4597,Middle States Commission on Higher Education,0.06667004407518111,14.999240121580549,0.2955,Non-MSI
Medaille University,Buffalo,NY,14214-2695,,0.14838875667331317,6.739055049848289,0.5012,Non-MSI
St. Peter's Hospital College of Nursing,Albany,NY,12208,Accreditation Commission for Education in Nursing,,,0.3385,Non-MSI
Memorial Hospital School of Radiation Therapy Technology,New York,NY,10065-6007,Joint Review Committee on Education in Radiologic Technology,,,0.0,Non-MSI
Mercy University,Dobbs Ferry,NY,10522,Middle States Commission on Higher Education,0.16111111111111112,6.206896551724138,0.5004,HSI
Mesivta Torah Vodaath Rabbinical Seminary,Brooklyn,NY,11218,Association of Advanced Rabbinical and Talmudic Schools,-0.6840087623220154,-1.4619695756605284,0.3875,Non-MSI
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,Brooklyn,NY,11218-5559,Association of Advanced Rabbinical and Talmudic Schools,-1.3695175438596492,-0.7301841473178542,0.625,Non-MSI
Mesivtha Tifereth Jerusalem of America,New York,NY,10002-6301,Association of Advanced Rabbinical and Talmudic Schools,-1.2059310344827585,-0.8292348164245683,0.5455,Non-MSI
Mildred Elley School-Albany Campus,Albany,NY,12206-1513,Accrediting Bureau of Health Education Schools,-0.13027283281733745,-7.6761975492016346,0.7212,Non-MSI
Mirrer Yeshiva Cent Institute,Brooklyn,NY,11223-2010,Association of Advanced Rabbinical and Talmudic Schools,-0.7664591917243798,-1.3047009035800068,0.4265,Non-MSI
Modern Welding School,Schenectady,NY,12304,Accrediting Commission of Career Schools and Colleges,0.10050973728924324,9.94928478543563,0.4636,Non-MSI
Mohawk Valley Community College,Utica,NY,13501-5394,Middle States Commission on Higher Education,-0.01111243876209822,-89.98924731182795,0.3101,Non-MSI
Molloy College,Rockville Centre,NY,11571-5002,Middle States Commission on Higher Education,0.2646171735891566,3.779044218621258,0.2944,HSI
Monroe College,Bronx,NY,10468,Middle States Commission on Higher Education,-0.007230965546575925,-138.29411764705884,0.5517,Non-MSI
Monroe Community College,Rochester,NY,14623,Middle States Commission on Higher Education,0.01961075620264448,50.99242424242424,0.4751,Non-MSI
Mount Saint Mary College,Newburgh,NY,12550,Middle States Commission on Higher Education,0.182293709951615,5.485652797704447,0.3023,HSI
Montefiore School of Nursing,Mount Vernon,NY,10550-2009,Accreditation Commission for Education in Nursing,,,0.4914,Non-MSI
University of Mount Saint Vincent,Bronx,NY,10471-1093,Middle States Commission on Higher Education,0.3613193403298351,2.767634854771784,0.4476,HSI
Icahn School of Medicine at Mount Sinai,New York,NY,10029-6574,Middle States Commission on Higher Education,,,,Non-MSI
Nassau Community College,Garden City,NY,11530-6793,Middle States Commission on Higher Education,0.41947002443149783,2.3839605734767026,0.3618,HSI
Nazareth University,Rochester,NY,14618-3790,Middle States Commission on Higher Education,0.08671279390095457,11.532323605467308,0.2509,Non-MSI
Neighborhood Playhouse School of the Theater,New York City,NY,10022-5017,National Association of Schools of Theatre,-0.25817215414144395,-3.873384421823173,0.1358,Non-MSI
The New School,New York,NY,10011,Middle States Commission on Higher Education,0.1030232652894919,9.706545382637929,0.1622,Non-MSI
Northeast College of Health Sciences,Seneca Falls,NY,13148-0800,Middle States Commission on Higher Education,,,,Non-MSI
New York Law School,New York,NY,10013-2921,American Bar Association,,,,Non-MSI
New York Medical College,Valhalla,NY,10595,Middle States Commission on Higher Education,,,,Non-MSI
New York School for Medical and Dental Assistants,Long Island City,NY,11101,Accrediting Commission of Career Schools and Colleges,-0.06382513661202185,-15.667808219178083,0.9349,Non-MSI
New York Theological Seminary,New York,NY,10027,,,,,Non-MSI
New York University,New York,NY,10012-1091,Middle States Commission on Higher Education,0.33599285318218225,2.9762537819748784,0.1901,Non-MSI
Niagara County Community College,Sanborn,NY,14132,Middle States Commission on Higher Education,0.05894279507603186,16.965601965601966,0.3394,Non-MSI
Niagara University,Niagara University,NY,14109,Middle States Commission on Higher Education,0.14237661979597463,7.023625096824167,0.2743,Non-MSI
Empire Beauty School-Peekskill,Peekskill,NY,10566,National Accrediting Commission of Career Arts and Sciences,-0.4780207763805358,-2.091959281711083,0.4359,Non-MSI
North Country Community College,Saranac Lake,NY,12983-0089,Middle States Commission on Higher Education,-0.019873934000741566,-50.31716417910447,0.2897,Non-MSI
New York College of Podiatric Medicine,New York,NY,10035-1940,American Podiatric Medical Association,,,,Non-MSI
New York Institute of Technology,Old Westbury,NY,11568-8000,Middle States Commission on Higher Education,0.4052453882663796,2.467640666505675,0.4359,AANAPII
New York School of Interior Design,New York,NY,10021,National Association of Schools of Arts and Design,0.10640718980051554,9.397861195984287,0.1314,Non-MSI
Alliance University,New York,NY,10004,,0.12455395072217502,8.028649386084584,0.4175,HSI
Ohr Hameir Theological Seminary,Peekskill,NY,10566,Association of Advanced Rabbinical and Talmudic Schools,,,0.5647,Non-MSI
Onondaga Community College,Syracuse,NY,13215-4585,Middle States Commission on Higher Education,0.05423950334912596,18.436746987951807,0.2702,Non-MSI
Orange County Community College,Middletown,NY,10940,Middle States Commission on Higher Education,0.1667967733541504,5.995319812792512,0.2707,HSI
Otsego Area BOCES-Practical Nursing Program,Oneonta,NY,13820-1142,New York State Board of Regents State Education Department Office of the Professions (Public Postsecondary Vocational Education Practical Nursing),-0.8175612492986721,-1.2231499485302528,0.7188,Non-MSI
Pace University,New York,NY,10038-1598,Middle States Commission on Higher Education,0.258688513930882,3.8656528842528597,0.2668,Non-MSI
Paul Smiths College of Arts and Science,Paul Smiths,NY,12970-0265,Middle States Commission on Higher Education,0.03498673198611962,28.582263710618435,0.384,Non-MSI
Continental School of Beauty Culture-West Seneca,West Seneca,NY,14224,National Accrediting Commission of Career Arts and Sciences,-0.16122708487866907,-6.202431810713112,0.808,Non-MSI
Plaza College,Forest Hills,NY,11375,Middle States Commission on Higher Education,-0.09849223184085307,-10.153084982537834,0.8504,Non-MSI
Davis College,Pottersville,NY,12860-2300,Middle States Commission on Higher Education,-0.02752871952927991,-36.32569974554707,0.3265,Non-MSI
Pratt Institute-Main,Brooklyn,NY,11205,Middle States Commission on Higher Education,0.0741829647620265,13.480183802412407,0.1696,Non-MSI
Rabbinical Academy Mesivta Rabbi Chaim Berlin,Brooklyn,NY,11230,Association of Advanced Rabbinical and Talmudic Schools,-1.9390108671545798,-0.5157268672080522,0.1737,Non-MSI
Rabbinical College Bobover Yeshiva Bnei Zion,Brooklyn,NY,11219,Association of Advanced Rabbinical and Talmudic Schools,-0.07320530996262405,-13.660211267605634,0.8337,Non-MSI
Rabbinical College Beth Shraga,Monsey,NY,10952-3033,Association of Advanced Rabbinical and Talmudic Schools,-0.5875277199112963,-1.7020473521674484,0.2115,Non-MSI
Rabbinical College of Long Island,Long Beach,NY,11561,Association of Advanced Rabbinical and Talmudic Schools,-1.5210508002783576,-0.6574402379046095,0.3694,Non-MSI
Rabbinical Seminary of America,Flushing,NY,11367,Association of Advanced Rabbinical and Talmudic Schools,-1.2021174205967275,-0.8318654923939152,0.1462,Non-MSI
Rensselaer Polytechnic Institute,Troy,NY,12180-3590,Middle States Commission on Higher Education,0.37085380388964795,2.696480363721878,0.1831,Non-MSI
Roberts Wesleyan University,Rochester,NY,14624,Middle States Commission on Higher Education,0.10812336222535779,9.24869500372856,0.3645,Non-MSI
Rochester Institute of Technology,Rochester,NY,14623-5603,Middle States Commission on Higher Education,0.2852029469001946,3.506275130985744,0.2659,Non-MSI
University of Rochester,Rochester,NY,14627-0011,Middle States Commission on Higher Education,0.3181671089249887,3.1430024410089503,0.1559,Non-MSI
The Rockefeller University,New York,NY,10065-6399,New England Commission on Higher Education,,,,Non-MSI
Rockland Community College,Suffern,NY,10901-3699,Middle States Commission on Higher Education,0.184149400724705,5.4303733602421795,0.2402,HSI
Empire Beauty School-Manhattan,New York,NY,10001,National Accrediting Commission of Career Arts and Sciences,-0.14187681321133674,-7.048368069209595,0.6865,Non-MSI
Russell Sage College,Troy,NY,12180,Middle States Commission on Higher Education,0.13315181590619649,7.510224274406332,0.4344,Non-MSI
St Bernard's School of Theology and Ministry,Rochester,NY,14618,Commission on Accrediting of the Association of Theological Schools,,,,Non-MSI
St Bonaventure University,Saint Bonaventure,NY,14778-9800,Middle States Commission on Higher Education,0.17243123370812746,5.799413357400722,0.2517,Non-MSI
St. Francis College,Brooklyn,NY,11201,Middle States Commission on Higher Education,0.14837185890734503,6.73982254697286,0.4726,HSI
St. Joseph's College of Nursing,Syracuse,NY,13203,Middle States Commission on Higher Education,0.20020175090968045,4.994961310059384,0.2442,Non-MSI
St Lawrence University,Canton,NY,13617,Middle States Commission on Higher Education,0.2216342082980525,4.511938872970392,0.2203,Non-MSI
The College of Saint Rose,Albany,NY,12203-1490,,0.10678894297635605,9.364265364265364,0.4088,Non-MSI
St. Thomas Aquinas College,Sparkill,NY,10976-1050,Middle States Commission on Higher Education,0.1773088517402028,5.639876352395672,0.1894,Non-MSI
Samaritan Hospital School of Nursing,Troy,NY,12065,Accreditation Commission for Education in Nursing,0.12743322119669917,7.847247292418772,0.3889,Non-MSI
Sarah Lawrence College,Bronxville,NY,10708,Middle States Commission on Higher Education,0.09664401649802676,10.34725207245932,0.1151,Non-MSI
Schenectady County Community College,Schenectady,NY,12305,Middle States Commission on Higher Education,0.007048458149779736,141.875,0.2518,AANAPII
Sh'or Yoshuv Rabbinical College,Lawrence,NY,11559-1714,Association of Advanced Rabbinical and Talmudic Schools,,,0.0325,Non-MSI
Siena College,Loudonville,NY,12211-1462,Middle States Commission on Higher Education,0.22256971592389888,4.492974238875878,0.2364,Non-MSI
Skidmore College,Saratoga Springs,NY,12866,Middle States Commission on Higher Education,0.16118835065125128,6.203922280733612,0.1508,Non-MSI
St. Joseph's University-New York,Brooklyn,NY,11205-3688,Middle States Commission on Higher Education,0.2760632401843533,3.6223584108199494,0.3415,Non-MSI
Saint Vladimirs Orthodox Theological Seminary,Yonkers,NY,10707-1699,Commission on Accrediting of the Association of Theological Schools,,,,Non-MSI
Saint Elizabeth College of Nursing,Utica,NY,13501,Middle States Commission on Higher Education,,,0.438,Non-MSI
St. John Fisher University,Rochester,NY,14618-3597,Middle States Commission on Higher Education,0.16043642221652693,6.232998630762209,0.2732,Non-MSI
St Paul's School of Nursing-Staten Island,Staten Island,NY,10311,Accrediting Bureau of Health Education Schools,0.3343048493116706,2.9912817659061397,0.419,Non-MSI
St. John's University-New York,Queens,NY,11439,Middle States Commission on Higher Education,0.2609605723854468,3.831996499927082,0.2349,AANAPII
Sullivan County Community College,Loch Sheldrake,NY,12759-5151,Middle States Commission on Higher Education,-0.026679940268790444,-37.481343283582085,0.2627,Non-MSI
SUNY College of Technology at Alfred,Alfred,NY,14802,Middle States Commission on Higher Education,0.15962156589241314,6.264817629179331,0.4505,Non-MSI
SUNY College of Technology at Canton,Canton,NY,13617-1098,Middle States Commission on Higher Education,0.07946974380108524,12.583405358686258,0.4748,Non-MSI
SUNY College of Technology at Delhi,Delhi,NY,13753-1100,Middle States Commission on Higher Education,0.0851499035708024,11.743994509265615,0.4725,Non-MSI
SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,NY,12043,Middle States Commission on Higher Education,0.0664046459787646,15.059187279151942,0.4247,Non-MSI
Farmingdale State College,Farmingdale,NY,11735-1021,Middle States Commission on Higher Education,0.5802964448902262,1.7232571538313808,0.3488,Non-MSI
SUNY Morrisville,Morrisville,NY,13408,Middle States Commission on Higher Education,0.05327614074350367,18.770128354725788,0.5554,Non-MSI
University at Albany,Albany,NY,12222,Middle States Commission on Higher Education,0.3317693976892851,3.01414177125685,0.4101,Non-MSI
Binghamton University,Vestal,NY,13850-6000,Middle States Commission on Higher Education,0.38353246272112623,2.607341221927071,0.2701,Non-MSI
University at Buffalo,Buffalo,NY,14260-1660,Middle States Commission on Higher Education,0.34616169865251123,2.8888233559422,0.3208,Non-MSI
Stony Brook University,Stony Brook,NY,11794-0701,Middle States Commission on Higher Education,0.40082404828226553,2.4948602866657015,0.3712,Non-MSI
SUNY College of Environmental Science and Forestry,Syracuse,NY,13210,Middle States Commission on Higher Education,0.1848048257639962,5.411114108443486,0.2473,Non-MSI
SUNY Polytechnic Institute,Utica,NY,13502,Middle States Commission on Higher Education,0.404046644528535,2.474961773700306,0.3843,Non-MSI
SUNY Brockport,Brockport,NY,14420-2919,Middle States Commission on Higher Education,0.1572469829131318,6.359422492401215,0.3757,Non-MSI
SUNY Buffalo State University,Buffalo,NY,14222,Middle States Commission on Higher Education,0.12933008874892643,7.732152739346984,0.5334,Non-MSI
State University of New York at Cortland,Cortland,NY,13045-0900,Middle States Commission on Higher Education,0.18208343997952392,5.491987630025303,0.2834,Non-MSI
SUNY at Fredonia,Fredonia,NY,14063-1136,Middle States Commission on Higher Education,0.15664047404353987,6.384046052631579,0.3902,Non-MSI
SUNY College at Geneseo,Geneseo,NY,14454-1465,Middle States Commission on Higher Education,0.24311345646437996,4.113305838940742,0.2596,Non-MSI
State University of New York at New Paltz,New Paltz,NY,12561-2443,Middle States Commission on Higher Education,0.18694846933217127,5.349067599067599,0.3374,Non-MSI
